NO;SOUND;UNIT;TIME
544;55.8;dBC;05-04-24/15:16:50
545;55.5;dBC;05-04-24/15:17:00
546;51.5;dBC;05-04-24/15:17:10
547;53.1;dBC;05-04-24/15:17:20
548;52.7;dBC;05-04-24/15:17:30
549;52.4;dBC;05-04-24/15:17:40
550;50.3;dBC;05-04-24/15:17:50
551;50.3;dBC;05-04-24/15:18:00
552;49.6;dBC;05-04-24/15:18:10
553;50.8;dBC;05-04-24/15:18:20
554;53.6;dBC;05-04-24/15:18:30
555;50.8;dBC;05-04-24/15:18:40
556;52.4;dBC;05-04-24/15:18:50
557;51.5;dBC;05-04-24/15:19:00
558;67.2;dBC;05-04-24/15:19:10
559;51.7;dBC;05-04-24/15:19:20
560;54.6;dBC;05-04-24/15:19:30
561;53.9;dBC;05-04-24/15:19:40
562;50.5;dBC;05-04-24/15:19:50
563;52.9;dBC;05-04-24/15:20:00
564;50.5;dBC;05-04-24/15:20:10
565;51.7;dBC;05-04-24/15:20:20
566;53.4;dBC;05-04-24/15:20:30
567;51.5;dBC;05-04-24/15:20:40
568;51.9;dBC;05-04-24/15:20:50
569;50.8;dBC;05-04-24/15:21:00
570;51.2;dBC;05-04-24/15:21:10
571;58.6;dBC;05-04-24/15:21:20
572;53.1;dBC;05-04-24/15:21:30
573;53.9;dBC;05-04-24/15:21:40
574;53.4;dBC;05-04-24/15:21:50
575;56.0;dBC;05-04-24/15:22:00
576;52.9;dBC;05-04-24/15:22:10
577;60.3;dBC;05-04-24/15:22:20
578;53.1;dBC;05-04-24/15:22:30
579;51.7;dBC;05-04-24/15:22:40
580;50.8;dBC;05-04-24/15:22:50
581;52.9;dBC;05-04-24/15:23:00
582;51.9;dBC;05-04-24/15:23:10
583;52.2;dBC;05-04-24/15:23:20
584;52.7;dBC;05-04-24/15:23:30
585;51.7;dBC;05-04-24/15:23:40
586;53.4;dBC;05-04-24/15:23:50
587;50.5;dBC;05-04-24/15:24:00
588;48.8;dBC;05-04-24/15:24:10
589;51.5;dBC;05-04-24/15:24:20
590;53.4;dBC;05-04-24/15:24:30
591;51.0;dBC;05-04-24/15:24:40
592;53.1;dBC;05-04-24/15:24:50
593;56.0;dBC;05-04-24/15:25:00
594;52.2;dBC;05-04-24/15:25:10
595;61.2;dBC;05-04-24/15:25:20
